,항목명,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월
299,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
300,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
301,관계기업에 대한 지분법이익,,,,,,,,,,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,
302,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
303,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
304,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
305,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
306,   당기손익으로 재분류되지 않는항목,,,,,,,,,,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
307,      확정급여제도의 재측정손익,,,,,,,,,,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,
308,   당기손익으로 재분류될 수 있는 항목,,,,,,,,,,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,
309,      관계기업 기타포괄손익에 대한 지분해당액,,,,,,,,,,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,
310,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
311,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
312,   보통주기본주당이익,,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
313,   보통주희석주당이익,,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
314,   우선주기본주당이익,,,,,,,,,,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,
315,   우선주희석주당이익,,,,,,,,,,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,
316,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
317,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
318,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
319,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
320,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
321,기타이익,,,,,,,,,,dart_OtherGains,
