항목명,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월
   구형우선주희석주당이익,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,entity00117212_udf_IS_2017117161035775_EarningsPerShareAbstract,"3,710"
영업외손익,[241560],두산밥캣,유가증권시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome,"-1,229,394,000"
기본주당이익(손실),[241560],두산밥캣,유가증권시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity01032486_udf_IS_2019598478114_IncomeStatementAbstract,"641,000"
영업비용,[336370],두산솔루스,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_CostOfSales,"21,034,906,086"
   상품 및 제품 매출원가,[336370],두산솔루스,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,entity01412822_udf_IS_20203308112903_udf_IS_202033081041843_IncomeStatementAbstract,"12,050,485,853"
   기타매출원가,[336370],두산솔루스,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherCostOfSales,"958,401,448"
   판매비와관리비,[336370],두산솔루스,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,entity01412822_udf_IS_202033081133845_udf_IS_202033081041843_IncomeStatementAbstract,"8,026,018,785"
         보통주계속영업기본주당이익(손실),[336370],두산솔루스,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,entity01412822_udf_IS_2020320182513781_BasicEarningsLossPerShareFromContinuingOperations,123
         구형우선주계속영업기본주당이익(손실),[336370],두산솔루스,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,entity01412822_udf_IS_2020320182534271_BasicEarningsLossPerShareFromContinuingOperations,124
         보통주희석주당계속영업이익(손실),[336370],두산솔루스,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,entity01412822_udf_IS_202032018273864_DilutedEarningsLossPerShareFromContinuingOperations,123
         구형우선주희석주당계속영업이익(손실),[336370],두산솔루스,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,entity01412822_udf_IS_202032018278921_DilutedEarningsLossPerShareFromContinuingOperations,124
   희석주당순이익,[042670],두산인프라코어,유가증권시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_DilutedEarningsLossPerShare,322
금융손익,[034020],두산중공업,유가증권시장상장법인,291,일반 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome,"-228,492,747,457"
기타영업외손익,[034020],두산중공업,유가증권시장상장법인,291,일반 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity00159616_udf_IS_2018321135946942_IncomeStatementAbstract,"-14,976,145,361"
연구개발비,[003160],디아이,유가증권시장상장법인,272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",12,2020-03-31,1분기보고서,KRW,entity00118275_udf_IS_20171110152320573_IncomeStatementAbstract,"716,616,775"
   판매비와 관리비,[067280],멀티캠퍼스,코스닥시장상장법인,856,기타 교육기관,12,2020-03-31,1분기보고서,KRW,entity00425351_udf_IS_2017102715816710_GrossProfit,"10,912,703,945"
영업이익,[067280],멀티캠퍼스,코스닥시장상장법인,856,기타 교육기관,12,2020-03-31,1분기보고서,KRW,dart_OperatingIncomeLoss,"1,521,809,886"
   기타수익,[067280],멀티캠퍼스,코스닥시장상장법인,856,기타 교육기관,12,2020-03-31,1분기보고서,KRW,entity00425351_udf_IS_201710271584122_udf_IS_2017102715827158_IncomeStatementAbstract,"406,620"
   금융수익,[067280],멀티캠퍼스,코스닥시장상장법인,856,기타 교육기관,12,2020-03-31,1분기보고서,KRW,dart_OtherFinancialIncome,"123,804,984"
   금융비용,[067280],멀티캠퍼스,코스닥시장상장법인,856,기타 교육기관,12,2020-03-31,1분기보고서,KRW,entity00425351_udf_IS_2017102715844470_udf_IS_2017102715827158_IncomeStatementAbstract,"308,075,190"
법인세비용차감전 순이익,[067280],멀티캠퍼스,코스닥시장상장법인,856,기타 교육기관,12,2020-03-31,1분기보고서,KRW,entity00425351_udf_IS_2017102715828478_IncomeStatementAbstract,"1,337,946,300"
   법인세 비용,[067280],멀티캠퍼스,코스닥시장상장법인,856,기타 교육기관,12,2020-03-31,1분기보고서,KRW,entity00425351_udf_IS_2017102715848887_udf_IS_2017102715828478_IncomeStatementAbstract,"321,843,666"
당기순이익,[067280],멀티캠퍼스,코스닥시장상장법인,856,기타 교육기관,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLoss,"1,016,102,634"
   기본주당이익,[067280],멀티캠퍼스,코스닥시장상장법인,856,기타 교육기관,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShare,173
   희석주당이익,[067280],멀티캠퍼스,코스닥시장상장법인,856,기타 교육기관,12,2020-03-31,1분기보고서,KRW,ifrs-full_DilutedEarningsLossPerShare,173
지분법손실,[017180],명문제약,유가증권시장상장법인,212,의약품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,"966,773,291"
종속기업투자이익(손실),[018700],바른손,코스닥시장상장법인,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,2020-06-30,1분기보고서,KRW,entity00122205_udf_IS_2020622181849692_IncomeStatementAbstract,0
지분법손익,[015350],부산도시가스,유가증권시장상장법인,352,연료용 가스 제조 및 배관공급업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,"-418,161,154"
금융비용,[005930],삼성전자,유가증권시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceCosts,"1,647,433,000,000"
   기본및희석주당순이익,[001880],삼호,유가증권시장상장법인,411,건물 건설업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShare,"3,537"
관계기업에대한 지분법손익,[004450],삼화왕관,유가증권시장상장법인,259,기타 금속 가공제품 제조업,12,2020-03-31,1분기보고서,KRW,entity00129235_udf_IS_20171031162034232_IncomeStatementAbstract,"4,139,390"
   하역매출,[003100],선광,코스닥시장상장법인,529,기타 운송관련 서비스업,12,2020-03-31,1분기보고서,KRW,entity00131896_udf_IS_20188616333168_Revenue,"17,890,672,381"
   하역매출원가,[003100],선광,코스닥시장상장법인,529,기타 운송관련 서비스업,12,2020-03-31,1분기보고서,KRW,entity00131896_udf_IS_201711311294217_CostOfSales,"11,643,420,586"
대손상각비(대손충당금환입),[003100],선광,코스닥시장상장법인,529,기타 운송관련 서비스업,12,2020-03-31,1분기보고서,KRW,entity00131896_udf_IS_2020324103249177_IncomeStatementAbstract,"-4,204,567"
경상연구개발비,[091090],세원셀론텍,유가증권시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",12,2020-03-31,1분기보고서,KRW,entity00585219_udf_IS_2019213114910322_IncomeStatementAbstract,"765,449,265"
매각예정자산처분이익,[108860],셀바스AI,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,12,2020-03-31,1분기보고서,KRW,entity00666064_udf_IS_2020511191412820_IncomeStatementAbstract,"6,226,241,637"
   유동당기손익-공정가치측정금융자산평가이익(지분상품),[033790],스카이문스테크놀로지,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00276083_udf_IS_2020327221254297_FinanceIncome,"340,000"
   유동당기손익-공정가치측정금융자산평가이익(채무상품),[033790],스카이문스테크놀로지,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00276083_udf_IS_2020513142358455_FinanceIncome,0
   비유동당기손익-공정가치측정금융자산평가이익(채무상품),[033790],스카이문스테크놀로지,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00276083_udf_IS_2018118142023603_FinanceIncome,"160,004"
   유동당기손익-공정가치측정금융자산처분이익(지분상품),[033790],스카이문스테크놀로지,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00276083_udf_IS_201887162017807_FinanceIncome,0
   유동당기손익-공정가치측정금융자산평가손실(지분상품),[033790],스카이문스테크놀로지,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00276083_udf_IS_20188716225364_FinanceCosts,"63,186,401"
   비유동당기손익-공정가치측정금융자산평가손실(지분상품),[033790],스카이문스테크놀로지,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00276083_udf_IS_201887162248781_FinanceCosts,"2,100,000"
당기순이익(손실)의 귀속,[033790],스카이문스테크놀로지,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00276083_udf_IS_2020327222125105_IncomeStatementAbstract,nan
   지배기업의 소유주,[033790],스카이문스테크놀로지,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00276083_udf_IS_2020327222435825_udf_IS_2020327222125105_IncomeStatementAbstract,nan
